DAY_OF_WEEK,COTA_ROUTE,UNIQUE_STOP_NUMBER,STOP_NAME,ON,OFF,TOTAL,LAT,LONG,RANK
SUN,33,00007683,SAWMILL RD & FEDERATED B,0,4,4,40.102262,-83.091121,2034
SUN,3,00003718,1440 HARRISBURG PIKE,2,1,4,39.928606,-83.053842,2035
SUN,11,00002077,BRYDEN RD & KELTON AVE,1,3,4,39.960237,-82.957635,2036
SUN,11,00001224,5220 N HIGH ST,0,3,4,40.068619,-83.019154,2037
SUN,102,00006932,POLARIS PKWY & CLEVELAND,1,3,4,40.145626,-82.945393,2038
SUN,7,00004508,N JAMES RD & RUHL AVE,1,3,4,39.97793,-82.913416,2039
SUN,8,00007303,PARSONS AVE & WILLIAMS R,1,3,4,39.890889,-82.987041,2040
SUN,9,00001861,MYRTLE AVE & BRENTNELL A,1,2,4,40.016317,-82.948051,2041
SUN,3,00006970,RICHARD AVE & ADDISON DR,2,1,4,39.892572,-83.080214,2042
SUN,4,00001513,SUMMIT ST & E 2ND AVE,1,3,4,39.982297,-83.001189,2043
SUN,102,00005274,VANTAGE DR & HUTCHINSON,0,3,4,40.114593,-83.01424,2044
SUN,4,00001912,E LIVINGSTON AVE & S GRA,4,0,4,39.952418,-82.988689,2045
SUN,11,00002172,E LONG ST & N 17TH ST,1,2,4,39.967719,-82.976757,2046
SUN,11,00003856,N HIGH ST & FITZ HENRY B,0,3,4,40.066393,-83.019209,2047
SUN,102,00001260,N HIGH ST & W SELBY BLVD,3,0,4,40.07681,-83.018818,2048
SUN,151,00005933,S COLLEGE RD & W 12TH AV,3,1,4,39.998002,-83.009275,2050
SUN,22,00007858,KING AVE & OLENTANGY TRA,0,3,4,39.990803,-83.02315,2050
SUN,8,00001812,MCGUFFEY RD & ABERDEEN A,3,1,3,40.021593,-82.981547,2051
SUN,4,00002140,FAIRWOOD AVE & FABER AVE,3,0,3,39.908543,-82.957099,2052
SUN,5,00002755,E WHITTIER ST & ANN ST,0,3,3,39.944054,-82.980798,2053
SUN,6,00003072,CLEVELAND AVE & BLENDON,1,3,3,40.093384,-82.950368,2054
