DAY_OF_WEEK,COTA_ROUTE,UNIQUE_STOP_NUMBER,STOP_NAME,ON,OFF,TOTAL,LAT,LONG,RANK
SAT,2,00001213,N HIGH ST & GLENMONT AVE,6,15,20,40.044781,-83.019328,877
SAT,6,00004284,3953 W BROAD ST,3,18,20,39.953017,-83.107606,878
SAT,34,00006537,1778 MORSE RD,9,11,20,40.060324,-82.973509,879
SAT,6,00003135,CLEVELAND AVE & FERRIS R,16,5,20,40.049319,-82.954284,880
SAT,1,00001305,N HIGH ST & PRICE AVE,7,13,20,39.980421,-83.004132,881
SAT,31,00001193,N HIGH ST & E LANE AVE,13,7,20,40.006415,-83.009262,882
SAT,5,00001179,N HIGH ST & BUTTLES AVE,13,7,20,39.977552,-83.003587,883
SAT,2,00003519,E MAIN ST & BRICE RD,4,16,20,39.954786,-82.827945,884
SAT,6,00006787,COOPER RD & SCHROCK RD,20,1,20,40.111181,-82.942942,885
SAT,3,00002634,2096 STRINGTOWN RD,18,2,20,39.878535,-83.057637,886
SAT,23,00004773,S JAMES RD & DALE AVE,10,10,20,39.963646,-82.914277,887
SAT,1,00007541,W LANE AVE & TUTTLE PARK,12,8,20,40.006384,-83.016969,888
SAT,102,00007482,8664 SANCUS BLVD,3,18,20,40.140503,-82.991242,889
SAT,5,00003228,REFUGEE RD & NOE BIXBY R,19,1,20,39.915301,-82.864251,890
SAT,7,00001673,MOUNT VERNON AVE & TAYLO,14,6,20,39.974155,-82.961605,891
SAT,22,00007968,AMAZON DR,20,0,20,39.846066,-82.929065,892
SAT,2,00001265,5211 N HIGH ST,18,2,20,40.068839,-83.019243,893
SAT,10,00002510,E BROAD ST & WOODCLIFF D,8,12,20,39.976339,-82.872095,894
SAT,10,00002507,E BROAD ST & SANTA MARIA,5,15,20,39.975338,-82.881315,895
SAT,6,00002690,SULLIVANT AVE & S GLENWO,7,13,20,39.951895,-83.028851,896
SAT,5,00003245,CHATTERTON RD & NOE BIXB,2,18,20,39.915366,-82.862613,897
SAT,32,00005685,STELZER RD & MCCUTCHEON,18,2,20,40.033989,-82.910298,898
SAT,102,00006278,1319 POLARIS PKWY,1,19,20,40.141335,-82.984425,899
